File,ENT(0)_cp_y,gs_y,cp_n,p,r,f,ENT(1)_cp_y,gs_y,cp_n,p,r,f
"E:\Data\table_annotation\tmp\Chief_Minister_of_the_Northern_Territory_be79.html_0.xml.html.cell.keys",20.333333333333336,22.0,1.6666666666666667,0.9242424242424242,0.9242424242424243,0.9242424242424242,20.333333333333336,22.0,5.666666666666666,0.7820512820512822,0.9242424242424243,0.8472222222222222,
"E:\Data\table_annotation\tmp\Chinese_swords.html_0.xml.html.cell.keys",18.0,35.0,2.0,0.9,0.5142857142857142,0.6545454545454545,18.0,35.0,2.0,0.9,0.5142857142857142,0.6545454545454545,
"E:\Data\table_annotation\tmp\Chris_Alajajian_2b21.html_1.xml.html.cell.keys",4.0,4.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\CMX_discography_7efa.html_0.xml.html.cell.keys",11.333333333333334,15.0,2.666666666666667,0.8095238095238095,0.7555555555555556,0.7816091954022989,11.333333333333334,15.0,7.666666666666666,0.5964912280701755,0.7555555555555556,0.6666666666666669,
"E:\Data\table_annotation\tmp\Comarques_of_Catalonia_a70c.html_1.xml.html.cell.keys",52.0,52.0,0.0,1.0,1.0,1.0,52.0,52.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Commedia_all'italiana.html_0.xml.html.cell.keys",112.19999999999999,166.0,50.8,0.6883435582822085,0.6759036144578312,0.6820668693009116,112.19999999999999,166.0,80.79999999999998,0.5813471502590674,0.6759036144578312,0.6250696378830082,
"E:\Data\table_annotation\tmp\Communes_of_the_Essonne_department_7d4a.html_1.xml.html.cell.keys",85.53333333333333,98.0,12.466666666666667,0.8727891156462585,0.8727891156462585,0.8727891156462585,85.53333333333333,98.0,20.466666666666665,0.8069182389937106,0.8727891156462585,0.8385620915032679,
"E:\Data\table_annotation\tmp\Communes_of_the_Var_department_e37f.html_1.xml.html.cell.keys",72.0,78.0,6.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,72.0,78.0,8.0,0.9,0.9230769230769231,0.9113924050632911,
"E:\Data\table_annotation\tmp\Comuni_of_the_Province_of_Naples_92ce.html_0.xml.html.cell.keys",84.53333333333335,91.0,6.466666666666667,0.928937728937729,0.9289377289377291,0.9289377289377291,84.53333333333335,91.0,20.466666666666665,0.8050793650793651,0.9289377289377291,0.8625850340136054,
"E:\Data\table_annotation\tmp\County_of_Nares,_Queensland_eccc.html_0.xml.html.cell.keys",20.5,36.0,15.5,0.5694444444444444,0.5694444444444444,0.5694444444444444,20.5,36.0,16.5,0.5540540540540541,0.5694444444444444,0.5616438356164383,
"E:\Data\table_annotation\tmp\County_statistics_of_the_United_States_66c4.html_4.xml.html.cell.keys",39.67811355311355,46.0,6.321886446886447,0.8625676859372512,0.8625676859372511,0.8625676859372512,39.67811355311355,46.0,33.321886446886445,0.5435358020974459,0.8625676859372511,0.6668590513128327,
"E:\Data\table_annotation\tmp\Danish_Superliga_1995-96_829e.html_1.xml.html.cell.keys",12.0,15.0,3.0,0.8,0.8,0.8000000000000002,12.0,15.0,3.0,0.8,0.8,0.8000000000000002,
"E:\Data\table_annotation\tmp\Danny_DeVito_filmography_9079.html_0.xml.html.cell.keys",43.41666666666667,51.0,7.583333333333334,0.8513071895424836,0.8513071895424837,0.8513071895424836,43.41666666666667,51.0,23.583333333333332,0.6480099502487563,0.8513071895424837,0.7358757062146893,
