File,HEADER(0)_cp_y, gs_y, cp_n, p,r,f,HEADER(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\Fixed_dose_combination_(antiretroviral).html_0.xml.html.cell.keys",0.4444444444444444,3.0,1.5555555555555556,0.2222222222222222,0.14814814814814814,0.17777777777777776,0.8888888888888888,3.0,1.1111111111111112,0.4444444444444444,0.2962962962962963,0.3555555555555555,
"E:\Data\table_annotation\tmp\Former_municipalities_of_Norway_c4a3.html_8.xml.html.cell.keys",1.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Former_Southern_Conference_members_0958.html_0.xml.html.cell.keys",0.0,6.0,5.0,0.0,0.0,0.0,2.0,6.0,3.0,0.4,0.3333333333333333,0.3636363636363636,
"E:\Data\table_annotation\tmp\Generation_Adidas_28bc.html_4.xml.html.cell.keys",0.5,5.0,4.5,0.1,0.1,0.10000000000000002,1.75,5.0,3.25,0.35,0.35,0.35,
"E:\Data\table_annotation\tmp\Gowen_County,_New_South_Wales_ef76.html_0.xml.html.cell.keys",0.2857142857142857,3.0,1.7142857142857144,0.14285714285714285,0.09523809523809523,0.11428571428571427,0.6428571428571429,3.0,1.3571428571428572,0.32142857142857145,0.2142857142857143,0.2571428571428571,
"E:\Data\table_annotation\tmp\GraphiCon_ca64.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Highest-income_counties_in_the_United_States_631d.html_2.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Hladno_pivo.html_0.xml.html.cell.keys",2.3333333333333335,4.0,0.6666666666666667,0.7777777777777778,0.5833333333333334,0.6666666666666666,2.6666666666666665,4.0,0.33333333333333337,0.8888888888888888,0.6666666666666666,0.761904761904762,
"E:\Data\table_annotation\tmp\House_(TV_series)_e301.html_0.xml.html.cell.keys",1.0333333333333332,3.0,1.9666666666666668,0.3444444444444444,0.3444444444444444,0.3444444444444444,1.3833333333333333,3.0,1.6166666666666667,0.4611111111111111,0.4611111111111111,0.4611111111111111,
"E:\Data\table_annotation\tmp\Houston_Texans_draft_history_2b62.html_6.xml.html.cell.keys",0.3333333333333333,4.0,2.666666666666667,0.11111111111111109,0.08333333333333333,0.09523809523809523,1.1666666666666665,4.0,1.8333333333333335,0.38888888888888884,0.29166666666666663,0.3333333333333333,
"E:\Data\table_annotation\tmp\Independent_Wrestling_Federation_(Russia)_2ec2.html_0.xml.html.cell.keys",0.5,4.0,3.5,0.125,0.125,0.125,1.5,4.0,2.5,0.375,0.375,0.375,
"E:\Data\table_annotation\tmp\Iowa.html_4.xml.html.cell.keys",0.0,6.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,0.5,0.16666666666666666,0.25,
"E:\Data\table_annotation\tmp\Italian_Canadians_93aa.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Jeff_Tweedy_ce20.html_1.xml.html.cell.keys",1.3333333333333333,3.0,0.6666666666666667,0.6666666666666666,0.4444444444444444,0.5333333333333333,1.6666666666666665,3.0,0.33333333333333337,0.8333333333333333,0.5555555555555555,0.6666666666666665,
"E:\Data\table_annotation\tmp\Juventus_F.C._statistics_and_records_26e0.html_0.xml.html.cell.keys",0.0,3.0,1.0,0.0,0.0,0.0,0.3333333333333333,3.0,0.6666666666666667,0.3333333333333333,0.1111111111111111,0.16666666666666666,
"E:\Data\table_annotation\tmp\KVNE_da85.html_0.xml.html.cell.keys",0.14285714285714285,1.0,0.8571428571428572,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,1.0,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,
"E:\Data\table_annotation\tmp\Lee_County,_Florida_fdc0.html_0.xml.html.cell.keys",1.75,4.0,2.25,0.4375,0.4375,0.4375,2.25,4.0,1.75,0.5625,0.5625,0.5625,
